BodyText_Section0
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section5
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section6
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section7
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section8
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section9
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section0
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section1
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section10
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section11
[('[0x00000294]',), 90, 3, '0xff4', 4084]
[('[0x00000194]',), 76, 2, '0xfc', 252]
[('[0x00000164]',), 71, 1, '0x2c', 44]
[('[0x00000150]',), 71, 1, '0x10', 16]
[('[0x0000013E]',), 75, 2, '0xe', 14]
[('[0x0000012C]',), 75, 2, '0xe', 14]
[('[0x0000011A]',), 75, 2, '0xe', 14]
[('[0x000000FA]',), 74, 2, '0x1c', 28]
[('[0x000000DA]',), 74, 2, '0x1c', 28]
[('[0x000000AE]',), 73, 2, '0x28', 40]
[('[0x00000084]',), 71, 1, '0x26', 38]
[('[0x0000005C]',), 69, 1, '0x24', 36]
[('[0x00000050]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x32', 50]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section2
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section3
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section4
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section5
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section6
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section7
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section8
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section9
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section0
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section1
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section10
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section11
[('[0x00000294]',), 90, 3, '0xff4', 4084]
[('[0x00000194]',), 76, 2, '0xfc', 252]
[('[0x00000164]',), 71, 1, '0x2c', 44]
[('[0x00000150]',), 71, 1, '0x10', 16]
[('[0x0000013E]',), 75, 2, '0xe', 14]
[('[0x0000012C]',), 75, 2, '0xe', 14]
[('[0x0000011A]',), 75, 2, '0xe', 14]
[('[0x000000FA]',), 74, 2, '0x1c', 28]
[('[0x000000DA]',), 74, 2, '0x1c', 28]
[('[0x000000AE]',), 73, 2, '0x28', 40]
[('[0x00000084]',), 71, 1, '0x26', 38]
[('[0x0000005C]',), 69, 1, '0x24', 36]
[('[0x00000050]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x32', 50]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section2
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section3
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section4
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section5
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section6
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section7
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section8
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section9
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section0
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section1
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section10
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section11
[('[0x00000294]',), 90, 3, '0xff4', 4084]
[('[0x00000194]',), 76, 2, '0xfc', 252]
[('[0x00000164]',), 71, 1, '0x2c', 44]
[('[0x00000150]',), 71, 1, '0x10', 16]
[('[0x0000013E]',), 75, 2, '0xe', 14]
[('[0x0000012C]',), 75, 2, '0xe', 14]
[('[0x0000011A]',), 75, 2, '0xe', 14]
[('[0x000000FA]',), 74, 2, '0x1c', 28]
[('[0x000000DA]',), 74, 2, '0x1c', 28]
[('[0x000000AE]',), 73, 2, '0x28', 40]
[('[0x00000084]',), 71, 1, '0x26', 38]
[('[0x0000005C]',), 69, 1, '0x24', 36]
[('[0x00000050]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x32', 50]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section2
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section3
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section4
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section5
[('[0x0100011C]',), 71, 1, '0x10', 16]
[('[0x0100010A]',), 75, 2, '0xe', 14]
[('[0x010000F8]',), 75, 2, '0xe', 14]
[('[0x010000E6]',), 75, 2, '0xe', 14]
[('[0x010000C6]',), 74, 2, '0x1c', 28]
[('[0x010000A6]',), 74, 2, '0x1c', 28]
[('[0x0100007A]',), 73, 2, '0x28', 40]
[('[0x01000050]',), 71, 1, '0x26', 38]
[('[0x01000044]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x1000022', 16777250]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section6
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section7
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section8
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section9
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
[('[0x0000001A]',), 67, 1, '0x2c', 44]
[('[0x00000000]',), 66, 0, '0x16', 22]

BodyText_Section0
[('[0x0000014A]',), 71, 1, '0x10', 16]
[('[0x00000138]',), 75, 2, '0xe', 14]
[('[0x00000126]',), 75, 2, '0xe', 14]
[('[0x00000114]',), 75, 2, '0xe', 14]
[('[0x000000F4]',), 74, 2, '0x1c', 28]
[('[0x000000D4]',), 74, 2, '0x1c', 28]
[('[0x000000A8]',), 73, 2, '0x28', 40]
[('[0x0000007E]',), 71, 1, '0x26', 38]
[('[0x00000056]',), 69, 1, '0x24', 36]
[('[0x0000004A]',), 68, 1, '0x8', 8]
